Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20
9207;156010;F;Chicago;460;346920;04/08/2019;GGOENEBQ078999;Nest Cam Outdoor Security Camera  USA;NestUSA;10;1190;60;Clicked;1;15000;268898;8;ELEC20;200
9208;156010;F;Chicago;460;347000;04/08/2019;GGOENEBD084799;Nest Learning Thermostat 3rd GenUSA  Copper;NestUSA;10;1490;60;Clicked;1;15000;268898;8;ELEC20;200
9209;156010;F;Chicago;460;347070;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;10;1190;60;Used;1;15000;268898;8;ELEC20;200
9210;142980;M;Chicago;410;346380;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;10;1190;1869;Not Used;1;15000;268898;8;ELEC20;200
9211;142980;M;Chicago;410;346410;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Used;1;15000;268898;8;ELEC20;200
9212;181980;F;Chicago;290;346470;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;20;1190;60;Clicked;1;15000;268898;8;ELEC20;200
9213;181980;F;Chicago;290;346480;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Clicked;1;15000;268898;8;ELEC20;200
9214;181980;F;Chicago;290;346480;04/08/2019;GGOENEBQ079099;Nest Protect Smoke  CO White Battery AlarmUSA;NestUSA;30;790;60;Not Used;1;15000;268898;8;ELEC20;200
9215;181980;F;Chicago;290;346480;04/08/2019;GGOENEBQ079199;Nest Protect Smoke  CO White Wired AlarmUSA;NestUSA;10;790;60;Used;1;15000;268898;8;ELEC20;200
9216;181980;F;Chicago;290;346520;04/08/2019;GGOENEBQ079099;Nest Protect Smoke  CO White Battery AlarmUSA;NestUSA;50;790;60;Used;1;15000;268898;8;ELEC20;200
9217;124840;M;California;440;346530;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Used;1;15000;268898;8;ELEC20;200
9218;124840;M;California;440;346590;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;10;1190;60;Clicked;1;15000;268898;8;ELEC20;200
9219;124840;M;California;440;346590;04/08/2019;GGOENEBQ079099;Nest Protect Smoke  CO White Battery AlarmUSA;NestUSA;10;790;60;Not Used;1;15000;268898;8;ELEC20;200
9220;124840;M;California;440;346610;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;10;1190;60;Used;1;15000;268898;8;ELEC20;200
9221;124840;M;California;440;346630;04/08/2019;GGOENEBQ078999;Nest Cam Outdoor Security Camera  USA;NestUSA;10;1190;60;Used;1;15000;268898;8;ELEC20;200
9222;124840;M;California;440;346630;04/08/2019;GGOENEBQ084699;Nest Learning Thermostat 3rd GenUSA  White;NestUSA;10;1490;60;Clicked;1;15000;268898;8;ELEC20;200
9223;124840;M;California;440;346650;04/08/2019;GGOENEBQ084699;Nest Learning Thermostat 3rd GenUSA  White;NestUSA;10;1490;60;Used;1;15000;268898;8;ELEC20;200
9224;124840;M;California;440;346660;04/08/2019;GGOENEBQ078999;Nest Cam Outdoor Security Camera  USA;NestUSA;10;1190;60;Used;1;15000;268898;8;ELEC20;200
9225;124840;M;California;440;346690;04/08/2019;GGOENEBQ079099;Nest Protect Smoke  CO White Battery AlarmUSA;NestUSA;30;790;60;Clicked;1;15000;268898;8;ELEC20;200
9226;124840;M;California;440;346700;04/08/2019;GGOENEBQ078999;Nest Cam Outdoor Security Camera  USA;NestUSA;10;1190;60;Clicked;1;15000;268898;8;ELEC20;200
9227;124840;M;California;440;346710;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Used;1;15000;268898;8;ELEC20;200
9228;124840;M;California;440;346710;04/08/2019;GGOENEBQ079099;Nest Protect Smoke  CO White Battery AlarmUSA;NestUSA;30;790;60;Clicked;1;15000;268898;8;ELEC20;200
9229;124840;M;California;440;346760;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Clicked;1;15000;268898;8;ELEC20;200
9230;124840;M;California;440;346900;04/08/2019;GGOENEBQ078999;Nest Cam Outdoor Security Camera  USA;NestUSA;20;1190;60;Clicked;1;15000;268898;8;ELEC20;200
9231;181790;F;New York;60;347200;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;10;1190;60;Used;1;15000;268898;8;ELEC20;200
9232;181790;F;New York;60;347200;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Clicked;1;15000;268898;8;ELEC20;200
9233;172840;F;New York;380;347210;04/08/2019;GGOENEBB078899;Nest Cam Indoor Security Camera  USA;NestUSA;20;1190;1299;Not Used;1;15000;268898;8;ELEC20;200
9234;172840;F;New York;380;347280;04/08/2019;GGOENEBJ079499;Nest Learning Thermostat 3rd GenUSA  Stainless Steel;NestUSA;10;1490;60;Used;1;15000;268898;8;ELEC20;200
9935;156010;F;Chicago;460;346910;04/08/2019;GGOEGFKQ020399;Google Laptop and Cell Phone Stickers;Office;20;299;60;Used;1;15000;268898;8;OFF20;200
9936;156010;F;Chicago;460;347080;04/08/2019;GGOEGOAB021499;Metal Texture Roller Pen;Office;10;696;60;Used;1;15000;268898;8;OFF20;200
9937;156010;F;Chicago;460;347080;04/08/2019;GGOEGOAB022499;Satin Black Ballpoint Pen;Office;10;96;60;Clicked;1;15000;268898;8;OFF20;200
9938;156010;F;Chicago;460;347090;04/08/2019;GGOEGFKQ020399;Google Laptop and Cell Phone Stickers;Office;6000;239;19042;Clicked;1;15000;268898;8;OFF20;200
9939;156010;F;Chicago;460;347140;04/08/2019;GGOEYFKQ020699;YouTube Custom Decals;Office;10;199;60;Used;1;15000;268898;8;OFF20;200
9940;156490;M;California;220;346430;04/08/2019;GGOEGOLC013299;Spiral Notebook and Pen Set;Office;10;335;65;Clicked;1;15000;268898;8;OFF20;200
9941;145050;F;California;80;346910;04/08/2019;GGOEGFKA022299;Keyboard DOT Sticker;Office;20;15;60;Not Used;1;15000;268898;8;OFF20;200
9942;142980;M;Chicago;410;346380;04/08/2019;GGOEGOCB017499;Leatherette Journal;Office;80;615;1869;Used;1;15000;268898;8;OFF20;200
9943;177070;F;Chicago;40;346430;04/08/2019;GGOEGOAB022499;Satin Black Ballpoint Pen;Office;10;96;65;Clicked;1;15000;268898;8;OFF20;200
9944;181980;F;Chicago;290;346440;04/08/2019;GGOEGFKQ020399;Google Laptop and Cell Phone Stickers;Office;200;239;4973;Clicked;1;15000;268898;8;OFF20;200
9945;124840;M;California;440;346550;04/08/2019;GGOEYOLR018699;YouTube Leatherette Notebook Combo;Office;110;559;7067;Clicked;1;15000;268898;8;OFF20;200
9946;124840;M;California;440;346570;04/08/2019;GGOEGOAQ012899;Ballpoint LED Light Pen;Office;100;20;1291;Not Used;1;15000;268898;8;OFF20;200
9947;124840;M;California;440;346570;04/08/2019;GGOEGOCB017499;Leatherette Journal;Office;150;615;1291;Clicked;1;15000;268898;8;OFF20;200
9948;124840;M;California;440;346600;04/08/2019;GGOEGOAB021499;Metal Texture Roller Pen;Office;20;696;60;Clicked;1;15000;268898;8;OFF20;200
9949;124840;M;California;440;346640;04/08/2019;GGOEGOCR017899;Recycled Paper Journal Set;Office;1300;399;60;Clicked;1;15000;268898;8;OFF20;200
9950;124840;M;California;440;346680;04/08/2019;GGOEGOLC013299;Spiral Notebook and Pen Set;Office;10;335;60;Used;1;15000;268898;8;OFF20;200
9951;124840;M;California;440;346770;04/08/2019;GGOEGOAB015899;Rainbow Stylus Pen;Office;10;12;3494;Used;1;15000;268898;8;OFF20;200
9952;124840;M;California;440;346770;04/08/2019;GGOEGOCT019199;Red Spiral Google Notebook;Office;30;799;3494;Clicked;1;15000;268898;8;OFF20;200
9953;124840;M;California;440;346780;04/08/2019;GGOEGOAC021799;Ballpoint Pen Blue;Office;40;79;1248;Clicked;1;15000;268898;8;OFF20;200
9954;124840;M;California;440;346780;04/08/2019;GGOEGOAQ012899;Ballpoint LED Light Pen;Office;150;20;1248;Used;1;15000;268898;8;OFF20;200
9955;124840;M;California;440;346810;04/08/2019;GGOEGOXQ016399;Badge Holder;Office;20;199;60;Clicked;1;15000;268898;8;OFF20;200
9956;124840;M;California;440;346860;04/08/2019;GGOEGOXQ016399;Badge Holder;Office;20;199;60;Used;1;15000;268898;8;OFF20;200
9957;124840;M;California;440;346880;04/08/2019;GGOEGOLC013299;Spiral Notebook and Pen Set;Office;80;335;1647;Used;1;15000;268898;8;OFF20;200
9958;124840;M;California;440;346880;04/08/2019;GGOEGOLC014299;Google Metallic Notebook Set;Office;80;479;1647;Clicked;1;15000;268898;8;OFF20;200
9959;172840;F;New York;380;347280;04/08/2019;GGOEGOAB022499;Satin Black Ballpoint Pen;Office;20;96;60;Not Used;1;15000;268898;8;OFF20;200
9960;172840;F;New York;380;347290;04/08/2019;GGOEGFKQ020399;Google Laptop and Cell Phone Stickers;Office;30;299;60;Clicked;1;15000;268898;8;OFF20;200
9961;172840;F;New York;380;347290;04/08/2019;GGOEGFKQ020799;Google Doodle Decal;Office;30;299;60;Used;1;15000;268898;8;OFF20;200
11996;156010;F;Chicago;460;346930;04/08/2019;GGOEGAAB033814;Google Mens Vintage Badge Tee Black;Apparel;10;76;60;Used;18;15000;268898;8;SALE20;200
11997;156010;F;Chicago;460;346930;04/08/2019;GGOEGALQ036615;Google Womens Scoop Neck Tee White;Apparel;20;48;60;Used;18;15000;268898;8;SALE20;200
11998;156010;F;Chicago;460;346930;04/08/2019;GGOEYAQB073216;YouTube Womens Fleece Hoodie Black;Apparel;10;3135;60;Used;18;15000;268898;8;SALE20;200
11999;156010;F;Chicago;460;346940;04/08/2019;GGOEAAAJ032413;Android Mens Short Sleeve Triblend Hero Tee Grey;Apparel;10;1063;60;Used;18;15000;268898;8;SALE20;200
12000;156010;F;Chicago;460;346940;04/08/2019;GGOEAAAJ032913;Android Mens Long  Lean Badge Tee Charcoal;Apparel;10;48;60;Used;18;15000;268898;8;SALE20;200
12001;156010;F;Chicago;460;346940;04/08/2019;GGOEGAAB033815;Google Mens Vintage Badge Tee Black;Apparel;10;76;60;Used;18;15000;268898;8;SALE20;200
12002;156010;F;Chicago;460;346940;04/08/2019;GGOEGAAJ032313;Google Mens Short Sleeve Hero Tee Charcoal;Apparel;10;1063;60;Not Used;18;15000;268898;8;SALE20;200
12003;156010;F;Chicago;460;346940;04/08/2019;GGOEGAAJ032614;Google Mens Short Sleeve Badge Tee Charcoal;Apparel;50;1063;60;Clicked;18;15000;268898;8;SALE20;200
12004;156010;F;Chicago;460;346940;04/08/2019;GGOEGAEC033113;Google Mens Long Sleeve Raglan Ocean Blue;Apparel;10;1399;60;Used;18;15000;268898;8;SALE20;200
12005;156010;F;Chicago;460;346940;04/08/2019;GGOEGAEJ031313;Google Triblend Hoodie Grey;Apparel;10;3199;60;Clicked;18;15000;268898;8;SALE20;200
12006;156010;F;Chicago;460;346950;04/08/2019;GGOEGADC059315;Google Mens Airflow 14 Zip Pullover Lapis;Apparel;10;3499;60;Used;18;15000;268898;8;SALE20;200
12007;156010;F;Chicago;460;346970;04/08/2019;GGOEGAAL010615;Google Mens 100 Cotton Short Sleeve Hero Tee Navy;Apparel;10;1359;60;Clicked;18;15000;268898;8;SALE20;200
12008;156010;F;Chicago;460;346980;04/08/2019;GGOEGAAL010615;Google Mens 100 Cotton Short Sleeve Hero Tee Navy;Apparel;10;1359;60;Clicked;18;15000;268898;8;SALE20;200
12009;156010;F;Chicago;460;346990;04/08/2019;GGOEGAAJ080614;Google Mens Bike Short Sleeve Tee Charcoal;Apparel;10;1999;60;Clicked;18;15000;268898;8;SALE20;200
12010;156010;F;Chicago;460;347010;04/08/2019;GGOEAAEJ035715;Android Mens Vintage Tank;Apparel;10;84;1299;Not Used;18;15000;268898;8;SALE20;200
12011;156010;F;Chicago;460;347010;04/08/2019;GGOEGAAJ032715;Google Mens Skater Tee Grey;Apparel;10;80;1299;Clicked;18;15000;268898;8;SALE20;200
12012;156010;F;Chicago;460;347010;04/08/2019;GGOEGAXQ067129;Google Toddler Short Sleeve Tee White;Apparel;10;1359;1299;Used;18;15000;268898;8;SALE20;200
12013;156010;F;Chicago;460;347050;04/08/2019;GGOEGAAJ032614;Google Mens Short Sleeve Badge Tee Charcoal;Apparel;10;1063;60;Used;18;15000;268898;8;SALE20;200
12014;156010;F;Chicago;460;347050;04/08/2019;GGOEGAFB035814;Google Mens  Zip Hoodie;Apparel;10;4479;60;Clicked;18;15000;268898;8;SALE20;200
12015;156010;F;Chicago;460;347100;04/08/2019;GGOEGADB059613;Google Mens Quilted Insulated Vest Black;Apparel;10;4199;60;Used;18;15000;268898;8;SALE20;200
12016;156010;F;Chicago;460;347100;04/08/2019;GGOEGATB060413;Google Womens Quilted Insulated Vest Black;Apparel;10;5999;60;Clicked;18;15000;268898;8;SALE20;200
12017;156010;F;Chicago;460;347140;04/08/2019;GGOEYAAB031814;YouTube Mens Short Sleeve Hero Tee Black;Apparel;10;1699;60;Not Used;18;15000;268898;8;SALE20;200
12018;156010;F;Chicago;460;347140;04/08/2019;GGOEYHPB072210;YouTube Twill Cap;Apparel;10;1099;60;Used;18;15000;268898;8;SALE20;200
12019;142980;M;Chicago;410;346350;04/08/2019;GGOEGAAB010516;Google Mens 100 Cotton Short Sleeve Hero Tee Black;Apparel;30;1359;7574;Clicked;18;15000;268898;8;SALE20;200
